data_point,predicted,difference,hit,
13.3,2.67901,10.621,0,
11.7,7.33035,4.36965,0,
11.1,13.3853,2.28527,0,
10,10.3129,0.312933,1,
10,9.99884,0.00116253,1,
10,9.66253,0.337472,1,
7.2,9.52514,2.32514,0,
7.2,7.77211,0.572108,1,
7.2,7.2192,0.0192013,1,
6.1,7.77713,1.67713,0,
6.7,6.52892,0.171075,1,
4.4,6.51085,2.11085,0,
10,5.37995,4.62005,0,
9.4,8.497,0.902998,1,
9.4,10.1507,0.75075,1,
9.4,9.35143,0.0485725,1,
8.9,9.81928,0.919282,0,
8.9,8.8097,0.0902996,1,
9.4,8.78135,0.618653,1,
10,8.84575,1.15425,0,
10.6,9.66854,0.931463,1,
10.6,9.90193,0.698071,1,
11.1,9.63629,1.46371,0,
11.7,10.5398,1.16022,1,
12.2,10.5516,1.6484,0,
12.2,11.0605,1.13946,1,
12.2,11.0623,1.13774,1,
12.2,10.3263,1.8737,0,
12.2,11.2359,0.964134,1,
11.1,11.0523,0.0477047,1,
10.6,10.381,0.219028,1,
10,10.1344,0.134355,1,
9.4,9.78575,0.385755,1,
8.3,9.6379,1.3379,0,
8.3,8.57032,0.270317,1,
8.3,8.2503,0.0497036,1,
7.2,8.54211,1.34211,0,
6.7,7.58021,0.880207,0,
6.1,6.83703,0.737027,0,
5.6,6.46361,0.863612,0,
3.3,5.94613,2.64613,0,
4.4,4.04582,0.35418,1,
4.4,3.61218,0.787818,0,
3.3,5.05855,1.75855,0,
3.9,4.09777,0.197773,1,
4.4,4.06954,0.330456,1,
5,4.81441,0.185592,1,
5,5.15301,0.153008,1,
5,5.79534,0.795338,0,
7.2,5.60372,1.59628,0,
7.8,7.14689,0.653111,1,
7.8,8.09129,0.291294,1,
8.3,8.14913,0.150867,1,
8.9,8.58823,0.311771,1,
10,8.66603,1.33397,0,
10.6,9.76204,0.837959,1,
11.1,10.0066,1.09343,1,
10.6,9.73779,0.862215,1,
10.6,9.7126,0.887403,1,
10,9.53766,0.462337,1,
10,9.48147,0.518535,1,
8.9,9.38575,0.485754,1,
10,9.34579,0.654211,1,
8.9,9.29757,0.397573,1,
8.3,9.27483,0.974833,0,
8.3,8.5867,0.286702,1,
6.7,8.39792,1.69792,0,
7.2,7.42766,0.227665,1,
5,7.05747,2.05747,0,
4.4,6.08494,1.68494,0,
5,4.19545,0.804554,0,
3.9,5.17715,1.27715,0,
3.9,4.77203,0.872031,0,
4.4,4.02209,0.37791,1,
4.4,4.48495,0.0849466,1,
5,4.92496,0.075038,1,
4.4,5.46996,1.06996,0,
