@RELATION sfo_temp

@ATTRIBUTE time  NUMERIC
@ATTRIBUTE temp  NUMERIC

@DATA
1,13.3
2,11.7
3,11.1
4,10.0
5,10.0
6,10.0
7,7.2
8,7.2
9,7.2
10,6.1
11,6.7
12,4.4
13,10.0
14,9.4
15,9.4
16,9.4
17,8.9
18,8.9
19,9.4
20,10.0
21,10.6
22,10.6
23,11.1
24,11.7
25,12.2
26,12.2
27,12.2
28,12.2
29,12.2
30,11.1
31,10.6
32,10.0
33,9.4
34,8.3
35,8.3
36,8.3
37,7.2
38,6.7
39,6.1
40,5.6
41,3.3
42,4.4
43,4.4
44,3.3
45,3.9
46,4.4
47,5.0
48,5.0
49,5.0
50,7.2
51,7.8
52,7.8
53,8.3
54,8.9
55,10.0
56,10.6
57,11.1
58,10.6
59,10.6
60,10.0
61,10.0
62,8.9
63,10.0
64,8.9
65,8.3
66,8.3
67,6.7
68,7.2
69,5.0
70,4.4
71,5.0
72,3.9
73,3.9
74,4.4
75,4.4
76,5.0
77,4.4
78,6.7
79,7.8
80,7.8
81,9.4
82,10.0
83,10.6
84,11.7
85,11.7
86,11.7
87,11.7
88,10.0
89,10.6
90,9.4
91,8.3
92,8.3
93,7.8
94,7.8
95,7.8
96,7.8
97,6.7
98,5.6
99,6.1
100,5.6
101,5.6
102,6.1
103,6.7
104,7.2
105,7.2
106,7.8
107,9.4
108,9.4
109,10.0
110,10.6
111,11.1
112,12.2
113,11.7
114,11.7
115,11.7
116,11.1
117,11.1
118,10.6
119,10.0
120,10.0
121,8.9
122,8.9
123,8.9
124,7.8
125,8.3
126,8.3
127,6.7
128,6.7
129,6.7
130,7.2
131,7.2
132,6.7
133,6.7
134,9.4
135,11.1
136,11.1
137,12.2
138,13.3
139,13.3
140,14.4
141,15.0
142,13.3
143,13.3
144,12.2
145,11.7
146,12.2
147,12.8
148,11.1
149,10.6
150,10.6
151,9.4
152,8.9
153,10.0
154,10.0
155,7.2
156,8.3
157,8.3
158,7.2
159,7.2
160,7.0
161,7.2
162,8.9
163,11.0
164,10.6
165,12.2
166,12.2
167,12.2
168,13.3
169,15.0
170,14.4
171,14.4
172,15.0
173,15.0
174,13.9
175,13.9
176,13.3
177,13.3
178,12.8
179,11.1
180,11.1
181,10.0
182,10.0
183,9.4
184,8.9
185,8.3
186,10.0
187,10.0
188,8.9
189,7.8
190,7.2
191,9.4
192,11.1
193,13.3
194,13.3
195,13.3
196,12.8
197,13.9
198,14.4
199,15.0
200,14.4
201,14.4
202,13.9
203,15.0
204,14.4
205,12.2
206,12.8
207,11.7
208,11.7
209,11.7
210,10.6
211,11.1
212,9.4
213,9.4
214,9.4
215,9.4
216,10.0
217,10.0
218,10.0
219,11.1
220,11.1
221,13.3
222,13.3
223,13.3
224,12.8
225,13.3
226,13.3
227,13.9
228,14.4
229,14.4
230,14.4
231,14.4
232,12.8
233,12.2
234,13.3
235,12.2
236,12.2
237,11.7
238,11.7
239,11.1
240,11.1
241,11.7
242,11.7
243,11.7
244,11.1
245,10.6
246,11.1
247,11.1
248,12.2
249,12.2
250,12.2
251,13.3
252,12.8
253,13.9
254,14.4
255,14.4
256,16.7
257,16.7
258,15.0
259,14.0
260,13.9
261,13.3
262,12.8
263,13.3
264,12.2
265,12.2
266,12.2
267,11.7
268,12.2
269,12.2
270,11.7
271,10.0
272,10.0
273,10.0
274,11.7
275,12.2
276,12.0
277,11.7
278,11.7
279,12.0
280,12.0
281,12.8
282,12.8
283,12.8
284,12.0
285,11.7
286,12.0
287,11.7
288,12.2
289,13.9
290,15.6
291,15.6
292,13.3
293,12.8
294,12.2
295,12.2
296,12.2
297,12.2
298,12.2
299,11.7
300,10.0
301,10.6
302,10.0
303,10.0
304,9.4
305,9.4
306,10.0
307,8.9
308,8.9
309,9.0
310,10.0
311,10.6
312,11.1
313,11.1
314,11.7
315,12.2
316,12.0
317,11.7
318,11.0
319,11.0
320,11.0
321,10.6
322,11.0
323,10.6
324,12.0
325,13.0
326,13.3
327,13.3
328,12.8
329,12.8
330,12.8
331,12.8
332,12.2
333,11.1
334,11.1
335,11.1
336,10.6
337,10.6
338,9.4
339,9.4
340,9.4
341,9.4
342,8.9
343,10.0
344,9.4
345,10.0
346,10.6
347,11.0
348,10.0
349,11.0
350,10.6
351,10.0
352,11.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,11.0
359,10.6
360,10.6
361,13.3
362,13.9
363,16.1
364,16.1
365,14.4
366,13.3
367,13.3
368,12.8
369,12.8
370,12.2
371,12.2
372,11.1
373,11.1
374,11.1
375,10.0
376,9.4
377,9.4
378,9.4
379,8.3
380,8.9
381,9.0
382,8.9
383,9.0
384,9.0
385,9.0
386,8.9
387,8.9
388,9.0
389,9.0
390,10.0
391,10.0
392,11.1
393,14.4
394,16.7
395,17.2
396,17.2
397,17.2
398,17.2
399,16.7
400,14.4
401,12.8
402,12.8
403,12.2
404,12.2
405,12.2
406,11.1
407,11.1
408,10.6
409,8.9
410,7.8
411,8.9
412,8.9
413,8.3
414,6.7
415,7.8
416,8.3
417,10.6
418,12.2
419,12.2
420,12.2
421,12.8
422,13.3
423,13.9
424,14.4
425,13.9
426,13.9
427,13.9
428,12.8
429,12.8
430,12.2
431,12.2
432,11.7
433,11.7
434,12.2
435,11.7
436,10.6
437,8.9
438,8.9
439,7.8
440,7.8
441,8.3
442,7.8
443,8.0
444,8.3
445,8.3
446,10.6
447,11.1
448,11.1
449,11.7
450,12.2
451,12.8
452,13.3
453,13.9
454,14.4
455,14.4
456,14.4
457,14.4
458,12.8
459,12.8
460,13.3
461,13.3
462,13.3
463,12.2
464,11.7
465,11.7
466,10.0
467,10.6
468,8.9
469,8.9
470,9.4
471,9.4
472,10.6
473,11.0
474,11.1
475,11.7
476,12.8
477,12.8
478,12.0
479,12.2
480,12.8
481,13.0
482,12.8
483,13.0
484,13.3
485,13.3
486,13.9
487,13.9
488,14.0
489,13.3
490,13.3
491,13.9
492,12.8
493,12.8
494,12.8
495,12.8
496,13.0
497,12.8
498,12.2
499,12.0
500,12.2
501,12.2
502,12.2
503,12.0
504,12.0
505,12.0
506,12.2
507,12.2
508,11.0
509,11.1
510,11.0
511,11.7
512,10.6
513,11.1
514,11.7
515,12.2
516,12.2
517,13.3
518,13.3
519,13.9
520,13.3
521,14.4
522,14.4
523,14.4
524,13.9
525,13.0
526,13.3
527,13.3
528,13.9
529,13.3
530,13.3
531,13.3
532,12.8
533,13.3
534,12.8
535,12.8
536,12.8
537,12.8
538,12.8
539,12.8
540,12.2
541,12.2
542,12.0
543,13.0
544,12.2
545,12.8
546,13.0
547,13.0
548,12.2
549,12.2
550,12.0
551,13.0
552,12.8
553,12.0
554,12.0
555,12.2
556,12.0
557,12.0
558,12.8
559,12.0
560,13.0
561,12.2
562,12.2
563,14.4
564,14.4
565,15.6
566,15.6
567,15.0
568,15.0
569,15.0
570,13.9
571,13.9
572,13.3
573,13.3
574,13.0
575,13.0
576,12.8
577,13.0
578,13.3
579,13.0
580,12.8
581,13.0
582,13.0
583,13.3
584,13.3
585,13.0
586,13.3
587,13.3
588,13.0
589,13.0
590,12.8
591,13.0
592,13.0
593,12.0
594,12.2
595,12.8
596,13.3
597,13.3
598,14.4
599,14.0
600,14.4
601,15.6
602,15.0
603,15.6
604,15.0
605,15.0
606,14.4
607,13.3
608,13.3
609,12.8
610,12.8
611,12.2
612,12.2
613,11.7
614,11.7
615,11.1
616,10.0
617,10.6
618,10.0
619,10.0
620,10.0
621,11.1
622,11.0
623,11.1
624,11.0
625,11.1
626,10.6
627,11.0
628,10.6
629,11.0
630,11.1
631,11.1
632,11.7
633,12.0
634,12.2
635,13.3
636,13.3
637,15.6
638,15.0
639,15.0
640,13.9
641,12.8
642,12.8
643,11.7
644,11.1
645,10.6
646,10.6
647,10.0
648,10.0
649,10.0
650,8.3
651,7.8
652,8.0
653,8.9
654,8.9
655,8.3
656,8.9
657,9.4
658,10.0
659,11.7
660,12.8
661,12.8
662,13.9
663,14.4
664,15.6
665,16.1
666,17.2
667,17.2
668,17.2
669,15.0
670,13.3
671,13.3
672,12.8
673,12.8
674,11.1
675,11.1
676,10.6
677,9.4
678,10.6
679,11.7
680,10.0
681,8.9
682,8.9
683,9.4
684,9.4
685,10.0
686,9.4
687,9.4
688,10.0
689,10.6
690,10.6
691,11.1
692,12.8
693,12.2
694,13.3
695,13.3
696,13.9
697,13.9
698,13.3
699,12.8
700,12.2
701,12.2
702,11.7
703,10.0
704,10.0
705,9.4
706,8.9
707,9.4
708,9.4
709,8.3
710,8.9
711,8.9
712,8.9
713,7.8
714,8.3
715,9.0
716,8.9
717,10.6
718,12.2
719,12.2
720,13.3
721,13.3
722,15.0
723,16.7
724,17.8
725,18.3
726,18.3
727,15.0
728,15.0
729,13.3
730,13.3
731,13.3
732,12.2
733,12.2
734,11.7
735,11.7
736,10.6
737,11.1
738,10.6
739,11.7
740,11.7
741,12.2
742,12.2
743,11.1
744,11.7
745,12.8
746,14.4
747,14.4
748,17.8
749,17.2
750,16.1
751,16.1
752,17.8
753,16.1
754,16.1
755,15.0
756,15.0
757,13.9
758,13.3
759,13.3
760,12.8
761,12.8
762,13.3
763,12.2
764,12.2
765,12.2
766,11.1
767,11.1
768,11.1
769,10.6
770,10.0
771,10.0
772,10.6
773,10.6
774,10.6
775,10.6
776,11.1
777,12.2
778,13.3
779,13.9
780,14.4
781,15.0
782,15.0
783,13.9
784,13.3
785,12.8
786,13.3
787,12.2
788,12.2
789,12.2
790,11.1
791,10.6
792,10.6
793,9.4
794,9.4
795,10.0
796,10.0
797,10.6
798,10.6
799,11.7
800,11.7
801,11.7
802,11.7
803,11.7
804,13.3
805,13.9
806,15.6
807,16.7
808,15.6
809,15.0
810,15.0
811,14.4
812,15.0
813,15.6
814,15.0
815,15.0
816,13.9
817,13.9
818,13.9
819,13.3
820,13.9
821,17.2
822,15.0
823,16.1
824,16.1
825,17.2
826,17.8
827,17.2
828,17.8
829,18.3
830,18.3
831,18.3
832,16.1
833,16.1
834,18.9
835,20.0
836,18.9
837,18.9
838,18.9
839,17.8
840,16.1
841,15.6
842,13.9
843,14.4
844,14.4
845,14.4
846,13.3
847,12.2
848,11.7
849,11.7
850,10.6
851,10.6
852,10.6
853,10.0
854,10.0
855,10.0
856,11.1
857,13.3
858,13.9
859,13.9
860,14.4
861,14.4
862,16.1
863,16.7
864,17.2
