data_point,predicted,difference,hit,
10,0,10,0,
13,0,13,0,
16,0.015,15.985,0,
19,0.107711,18.8923,0,
22,0.437346,21.5627,0,
25,1.22291,23.7771,0,
28,2.71894,25.2811,0,
31,5.17339,25.8266,0,
34,8.77085,25.2292,0,
37,13.5725,23.4275,0,
40,19.4718,20.5282,0,
43,26.1864,16.8136,0,
46,33.2988,12.7012,0,
49,40.342,8.65796,0,
52,46.9038,5.09624,0,
55,52.7139,2.2861,0,
58,57.6837,0.316307,1,
61,61.8866,0.886589,0,
64,65.3992,1.39923,0,
67,68.5715,1.57146,0,
70,71.6566,1.65665,0,
73,74.5992,1.59918,0,
76,77.4915,1.49153,0,
79,80.3782,1.37817,0,
82,83.2756,1.27563,0,
85,86.1872,1.18718,0,
88,89.1116,1.11159,0,
91,92.0466,1.04663,0,
94,94.9903,0.990295,0,
97,97.9408,0.940773,1,
100,100.897,0.896881,1,
103,104.332,1.33197,0,
106,107.781,1.78053,0,
109,110.299,1.29867,0,
112,112.788,0.787811,1,
115,115.736,0.736168,1,
118,119.125,1.12476,1,
121,122.492,1.49179,0,
124,125.662,1.66212,0,
127,128.248,1.24777,1,
130,130.638,0.638168,1,
133,134.277,1.27682,1,
136,137.588,1.58842,0,
139,140.602,1.60239,0,
142,143.237,1.23662,1,
145,145.556,0.555679,1,
148,149.197,1.19724,1,
151,152.466,1.46629,1,
154,155.446,1.44621,1,
157,158.906,1.90622,0,
160,162.029,2.02884,0,
163,164.238,1.23849,1,
166,166.476,0.476257,1,
169,170.118,1.11816,1,
172,173.348,1.34798,1,
175,176.287,1.28738,1,
178,179.728,1.72777,1,
181,182.81,1.81036,0,
184,186.002,2.00229,0,
187,188.311,1.31142,1,
190,190.41,0.410126,1,
193,194.088,1.08839,1,
196,197.285,1.28513,1,
199,200.173,1.1729,1,
202,203.615,1.61522,1,
205,206.655,1.65497,1,
208,209.822,1.82208,1,
211,213.06,2.06038,1,
214,216.166,2.16554,0,
217,219.366,2.36603,0,
220,221.41,1.40982,1,
223,223.344,0.344376,1,
226,227.071,1.07135,1,
229,230.235,1.23537,1,
232,233.065,1.06514,1,
235,236.516,1.51566,1,
238,239.51,1.50969,1,
241,242.652,1.65187,1,
244,245.872,1.8719,1,
247,248.941,1.94124,1,
250,252.121,2.12065,1,
253,255.265,2.26486,1,
256,258.392,2.39209,1,
259,261.551,2.55127,1,
262,264.69,2.6897,0,
265,267.833,2.83298,0,
268,269.588,1.58847,1,
271,271.279,0.279236,1,
274,275.095,1.09534,1,
277,278.227,1.2269,1,
280,280.979,0.978973,1,
283,284.458,1.45813,1,
286,287.397,1.39664,1,
289,290.514,1.51401,1,
292,293.721,1.72141,1,
295,296.75,1.75006,1,
298,299.911,1.91125,1,
301,303.029,2.02908,1,
304,306.126,2.12607,1,
307,309.263,2.26349,1,
310,312.373,2.37308,1,
313,315.49,2.49036,1,
316,318.612,2.61151,1,
319,321.727,2.72726,1,
322,324.845,2.845,1,
325,327.963,2.96277,1,
328,331.081,3.08051,1,
331,334.198,3.19827,1,
334,337.316,3.31601,1,
337,340.434,3.43375,0,
340,343.552,3.55151,0,
343,344.906,1.90588,1,
346,346.216,0.215546,1,
349,350.19,1.19028,1,
352,353.29,1.2901,1,
355,355.931,0.930511,1,
